frame_num;frame_epoch_time;ip_src;tcp_srcport;ip_ttl;ip_id;DF;tcp_tsval;tcp_seq;tcp_flags;tcp_stream;payload_len
284303;1569180263.2208998;124.235.138.209;52536;53;0x0000fb8f;1;1211761501.0;444397778;0x00000002;4643;0
318898;1569180567.9284189;116.252.2.210;42640;52;0x00009ee5;1;1211830839.0;2988477650;0x00000002;5211;0
318976;1569180568.1229289;116.252.2.210;42712;52;0x0000f97f;1;1211830887.0;1959979800;0x00000002;5213;0
319069;1569180568.3113859;116.252.2.210;42794;52;0x0000e68e;1;1211830935.0;3408917529;0x00000002;5216;0
319142;1569180568.5043411;116.252.2.210;42888;52;0x0000b87c;1;1211830983.0;2575477435;0x00000002;5217;0
331328;1569180645.4389582;123.14.251.33;59134;55;0x00002e00;1;1211853557.0;4108862709;0x00000002;5540;0
333186;1569180661.475359;123.14.251.33;35078;55;0x000029fc;1;1211857564.0;802050137;0x00000002;5567;0
358359;1569180835.679879;220.200.167.194;41808;51;0x0000b257;1;1211904745.0;4246569150;0x00000002;5882;0
364337;1569180897.592289;175.152.110.4;54388;53;0x0000b525;1;1211913253.0;3403604224;0x00000002;6044;0
364356;1569180898.0409138;175.152.110.4;54574;53;0x00001fb1;1;1211913365.0;2209303332;0x00000002;6045;0
419346;1569181207.794657;175.42.2.61;60620;53;0x00002041;1;1211988988.0;3074972605;0x00000002;6943;0
460201;1569181598.86043;221.213.75.186;58674;52;0x0000a2e8;1;1212095525.0;3093413581;0x00000002;7688;0
460207;1569181599.1351662;221.213.75.186;58790;52;0x000083ed;1;1212095595.0;3496255366;0x00000002;7689;0
3349;1569181686.374166;221.213.75.186;43170;52;0x00004edf;1;1212117402.0;2807185221;0x00000002;121;0
3451;1569181686.6444283;221.213.75.186;43285;52;0x0000020a;1;1212117471.0;3404297173;0x00000002;123;0
27689;1569181948.949364;115.204.91.178;57076;53;0x00006380;1;1212196504.0;3365324056;0x00000002;679;0
27704;1569181949.94184;175.152.108.98;56160;53;0x0000d545;1;1212179670.0;3858608531;0x00000002;681;0
27709;1569181950.945227;175.152.108.98;56160;53;0x0000d546;1;1212179920.0;3858608531;0x00000002;681;0
179228;1569182947.287098;60.13.7.44;57162;52;0x000015f4;1;1212432622.0;1698649370;0x00000002;3441;0
179237;1569182947.464969;221.213.75.116;47552;52;0x00005eac;1;1212425720.0;2819521364;0x00000002;3442;0
185012;1569182954.005379;60.13.7.44;59966;52;0x0000cb96;1;1212434300.0;1049267434;0x00000002;3468;0
185040;1569182954.156012;60.13.7.44;60064;52;0x0000404c;1;1212434338.0;1397688302;0x00000002;3472;0
185865;1569182969.5687618;175.184.167.229;39038;52;0x0000e1be;1;1212429413.0;795858395;0x00000002;3483;0
191749;1569182989.811856;60.13.7.44;47976;52;0x000080f8;1;1212443250.0;1345317514;0x00000002;3517;0
191756;1569182989.9939458;221.213.75.116;35547;52;0x00002b85;1;1212436351.0;3960235258;0x00000002;3518;0
195168;1569183020.7172809;110.177.83.53;47336;53;0x00007a0a;1;1212444043.0;4225636225;0x00000002;3583;0
195181;1569183020.828841;110.177.83.53;47382;53;0x0000e16b;1;1212444071.0;3307506892;0x00000002;3584;0
196210;1569183126.485904;221.213.75.165;48840;52;0x0000db71;1;1212477406.0;1693856943;0x00000002;3607;0
